FrameCounter,RunTime,CameraPositionX,CameraPositionY,CameraPositionZ,CameraDirectionX,CameraDirectionY,CameraDirectionZ,CameraVelocityX,CameraVelocityY,CameraVelocityZ
144,3.32656,0.06895175,0.7333728,0.1680281,348.1031,2.855688,4.50326,0.01685239,-0.02372788,-0.2783575
145,3.349916,0.06921415,0.7328131,0.1599565,348.6222,2.713399,4.696055,0.01123479,-0.02396568,-0.3455858
146,3.370802,0.06927928,0.7323546,0.1515254,349.0115,2.871077,4.738225,0.003118151,-0.0219487,-0.4036773
147,3.391087,0.06921507,0.7320247,0.1426664,349.1221,3.252962,4.636899,-0.003164924,-0.01626647,-0.4367162
148,3.413403,0.06897826,0.7320346,0.1335629,349.0318,3.652925,4.305211,-0.01061187,0.0004433855,-0.4079441
149,3.436484,0.06873375,0.7322693,0.1244411,348.744,3.959834,3.945952,-0.01059367,0.01017209,-0.395207
150,3.464731,0.06822523,0.7324185,0.1151609,348.4879,4.224558,3.875754,-0.0180027,0.005281616,-0.3285379
151,3.481616,0.06776059,0.7327389,0.1056166,348.279,4.296521,4.055326,-0.0275171,0.01897336,-0.5652357
152,3.503556,0.06697771,0.7328327,0.09567326,347.8122,4.4033,4.140718,-0.03568304,0.004273435,-0.4532106
153,3.532051,0.06603386,0.7326857,0.08570056,347.5578,4.518433,4.275882,-0.03312344,-0.005158305,-0.3499829
154,3.549775,0.06515599,0.7321904,0.07594562,347.5422,4.624621,4.466582,-0.04952937,-0.02794555,-0.5503718
155,3.572947,0.0641374,0.731288,0.0662775,347.5353,4.856632,4.373309,-0.04395939,-0.03894554,-0.4172472
156,3.591667,0.06310838,0.7299151,0.05655868,347.4753,5.238091,4.296195,-0.05496829,-0.0733335,-0.5191636
157,3.614244,0.06190065,0.7283235,0.0476559,347.6357,5.819381,4.414735,-0.05349298,-0.0704959,-0.3943208
158,3.639984,0.0610209,0.7266862,0.03925321,347.8285,6.342884,4.145817,-0.03417875,-0.06361152,-0.3264489
159,3.660474,0.05995845,0.7247586,0.03133112,348.012,6.980225,3.76146,-0.05185086,-0.09407107,-0.3866243
160,3.685835,0.0589733,0.7228505,0.02383514,348.4027,7.563455,3.577835,-0.03884532,-0.07523903,-0.2955733
161,3.703717,0.05819556,0.7209794,0.01714505,348.8564,8.013447,3.497809,-0.04349301,-0.1046372,-0.3741269
162,3.725905,0.05741005,0.7192795,0.01128199,349.1581,8.405633,3.589818,-0.0354026,-0.07661477,-0.2642452
